date,workout_type,duration(HH:mm:ss),distance(km),steps,elevation(m),weight(lbs),avg_heart_rate,max_heart_rate,notes
07-MAR-2023,walk (treadmill),01:06:03,5.84,7028,175,0,173,188,""
06-MAR-2023,walk (treadmill),00:15:30,1.41,1659,0,0,159,166,"Post-workout (chest/core)"
03-MAR-2023,walk (treadmill),01:00:57,5.34,6429,150,0,169,186,""
24-FEB-2023,walk (treadmill),01:00:00,5.30,6585,0,0,166,183,"Actually did a bit of elevation gain but this treadmill doesn’t record it. Treadmill was also inaccurate for distance so this is an estimate based off watch measure."
20-FEB-2023,walk (outdoor),00:13:36,1.17,1564,23,12,158,178,"Walk from work-gym"
20-FEB-2023,walk (outdoor),00:12:51,1.14,1450,0,12,143,154,"Walk to work-gym"
18-FEB-2023,walk (treadmill),01:30:09,8.50,9912,0,0,164,187,""
18-FEB-2023,walk (treadmill),00:30:02,2.58,3214,96,0,171,190,"5% gain for the first 20 mins"
16-FEB-2023,walk (treadmill),00:30:06,2.62,3215,58,0,162,184,""
15-FEB-2023,walk (treadmill),00:20:37,1.79,2149,61,0,166,185,"Post-workout (chest)"
14-FEB-2023,walk (treadmill),00:42:00,3.63,4422,103,0,169,191,""
12-FEB-2023,walk (treadmill),00:57:38,5.26,6231,0,0,164,183,""
12-FEB-2023,walk (treadmill),00:30:04,2.67,3212,0,0,144,154,""
10-FEB-2023,walk (treadmill),00:35:00,3.02,3720,72,0,168,185,""
09-FEB-2023,walk (treadmill),01:05:00,5.83,6933,40,0,162,179,""
08-FEB-2023,walk (outdoor),00:14:44,1.16,1452,26,0,151,168,"Walk back from work-gym"
08-FEB-2023,walk (outdoor),00:17:31,1.34,1950,0,0,140,152,"Walk to work-gym. Pressed “end workout” late so numbers are a little off."
07-FEB-2023,walk (outdoor),00:15:32,1.19,1550,12,0,141,160,"Walk back from REI. Didn’t get start/end steps, steps is an estimate."
07-FEB-2023,walk (outdoor),00:16:00,1.25,1650,22,0,146,171,"Walk to REI. Didn’t get start/end steps, steps is an estimate."
06-FEB-2023,walk (treadmill),00:10:32,0.85,1061,26,0,146,165,"Plantar fasciitis (I believe, self-diagnosed) is acting up. Had to end early."
04-FEB-2023,walk (treadmill),00:50:00,4.32,5280,103,,0171,190,""
03-FEB-2023,walk (treadmill),00:20:02,1.78,2106,0,0,150,159,"Post-workout (arms/back)"
02-FEB-2023,walk (treadmill),00:45:00,3.90,4821,60,0,169,189,""
01-FEB-2023,walk (treadmill),00:53:59,4.56,5664,100,0,172,191,"Milestone: 100m gain!!"
30-JAN-2023,walk (treadmill),00:50:09,4.31,5285,40,0,168,190,""
28-JAN-2023,walk (treadmill),00:41:03,3.78,4441,0,0,167,193,"Threw in a minute and a half of jogging"
28-JAN-2023,walk (treadmill),00:46:15,3.94,4774,75,0,162,186,""
26-JAN-2023,walk (treadmill),00:36:35,3.21,3700,80,0,165,183,"End steps is approximate, watch died near the end"
21-JAN-2023,walk (treadmill),00:23:00,1.97,2438,13,0,170,189,"Post-workout (arms/back)"
20-JAN-2023,walk (treadmill),00:39:05,3.27,4064,68,0,165,188,""
19-JAN-2023,walk (treadmill),00:20:15,1.71,2218,0,0,166,172,"Shredded my feet from beast mode last time, in recovery.."
16-JAN-2023,walk (treadmill),01:02:23,5.44,6574,36,0,172,201,"Entered beast mode"
15-JAN-2023,walk (treadmill),00:11:12,0.93,1204,12,0,169,183,"Post-workout (legs/shoulders)"
14-JAN-2023,walk (treadmill),00:35:00,2.95,3662,37,0,172,195,"Elevation isn't exact, forgot to record it. The value is a super rough estimate."
13-JAN-2023,walk (treadmill),00:20:44,1.75,2217,12,0,173,187,"Post-workout (arms/back)"
11-JAN-2023,walk (treadmill),00:11:00,0.89,1175,0,0,179,187,"Post-workout (legs/shoulders)"
10-JAN-2023,walk (treadmill),00:35:00,2.91,3664,37,0,176,199,"Added a second elevation segment. Wanted to hit 3km but the treadmill cut me off early.. Need to fix for next time."
09-JAN-2023,walk (treadmill),00:35:00,2.98,3824,21,0,164,190,"Added in some elevation on the treadmill for the first time. Back felt great. Elevation isn't exact, forgot to record it. The value is a super rough estimate."
04-JAN-2023,walk (treadmill),00:27:41,2.34,2959,0,0,166,184,""
29-DEC-2022,walk (outdoor),00:24:03,2.04,2706,6,0,161,172,"Danesbury Circuit 2.0"
28-DEC-2022,walk (outdoor),00:11:48,1.00,1287,6,0,178,185,"Walk back from Earnscliffe gym"
28-DEC-2022,walk (outdoor),00:11:31,1.02,1239,6,0,158,172,"Walk to Earnscliffe gym"
26-DEC-2022,walk (outdoor),00:57:55,4.69,6372,26,0,150,172,"Danesbury Circuit 4.7"
23-DEC-2022,walk (outdoor),00:13:07,1.02,1405,6,0,173,182,"Same blizzard. Much worse on the way back. Holy. This step count is accurate."
23-DEC-2022,walk (outdoor),00:11:52,1.00,1400,2,0,154,164,"Walking through a literal blizzard. Apple Watch screwed up the step count here, this number is just a rough estimate."
22-DEC-2022,walk (outdoor),00:25:52,2.11,2803,8,0,155,167,""
21-DEC-2022,walk (outdoor),00:10:48,0.94,1200,6,0,169,174,"Walk back from Earnscliffe gym. Forgot to record start/end steps so this is just a rough guess."
21-DEC-2022,walk (outdoor),00:11:59,1.07,1350,6,0,149,156,"Walk to Earnscliffe gym. Forgot to record start/end steps so this is just a rough guess."
17-DEC-2022,walk (outdoor),00:26:24,2.40,2998,0,0,171,188,""
15-DEC-2022,walk (treadmill),00:25:52,2.39,2730,0,0,168,188,"Best back day since it started bugging me. And this is with a bit of post-deadlift soreness."
13-DEC-2022,walk (outdoor),00:21:48,1.55,2425,28,0,169,182,"Walk back from work-gym. Forgot to record start/end steps so this is just a rough guess."
13-DEC-2022,walk (outdoor),00:22:15,1.59,2425,18,0,146,158,"Walk to work-gym. Forgot to record start/end steps so this is just a rough guess."
12-DEC-2022,walk (outdoor),00:20:00,1.60,2500,5,0,150,171,"Outdoor walk to CVS, UPS, then home. Forgot to start workout so time/steps/elevation are approximate."
11-DEC-2022,walk (treadmill),00:12:31,1.05,1324,0,0,181,187,"Kicked off with a bike, shorter walk. I felt GOOD. Just a bit of back issues."
10-DEC-2022,walk (treadmill),00:23:05,1.90,2571,0,0,180,194,"Back still annoying but felt MUCH better. Went a little slower (5 kph on the machine) for a little longer."
08-DEC-2022,walk (outdoor),00:20:23,1.80,2291,0,0,172,185,"Started off WAY too fast and ended up tweaking my back by stepping too hard. Led to a lower intensity."
05-DEC-2022,walk (outdoor),00:43:00,3.10,4850,24,0,150,172,"Walked to office, Whole Foods, then home. ~30 minute pause figuring out how to get into office and then getting my id."
03-DEC-2022,walk (treadmill),00:20:38,1.68,2367,0,0,181,187,"Back was killing again. Ate fine today though. Need to shorten the workout by splitting it into two."
01-DEC-2022,walk (treadmill),00:20:52,1.68,2380,0,0,184,195,"This was a rough one. Back was killing. Didn’t eat great beforehand; could’ve been the catalyst."
30-NOV-2022,walk (treadmill),00:20:40,1.72,2155,0,0,172,199,""
29-NOV-2022,walk (treadmill),00:20:31,1.69,2139,0,0,172,199,""
28-NOV-2022,walk (treadmill),00:20:32,1.58,1762,0,0,179,197,""
27-NOV-2022,walk (treadmill),00:20:32,1.64,2240,0,0,177,194,"Starting is the most important thing; next is consistency."
